"IMPORTANT FILOGENETIC" LINES from 0-th step to global "end of life" in 307-th step
MODEL PARAMETERS:
ROZMIAR=	300x150
MAPA=	
WYPOSAZENIE_POTOMSTWA=	0.05
EFEKTYWNOSC_AUTOTROFA=	0.5
MAX_WIEK=	50
PLODNOSC=	0.2
RTG=	0.000625
PRAWDOPODOBIENSTWO KATASTROF=	0(disabled)
EKSPLOATACJA=	DRAPIEZNICZA
DYSTANS RUCHU=	1
BIT_STABILIZACJI_RUCHU=	1024
ELASTYCZNE MIJANIE=	YES
MONTECARLO STEPS per STEP=	10

FULLCODE	ORDNUMBER	ANCORDNUM	BEGSTEP	ENDSTEP	LIFETIME	CURRAGENTS	ALLAGENTS	FEEDNISHE	DEFFNISHE	FEEDSPEC	DEFFSPEC	SPECJALIS	NISHENAME
7f3f_1c24	7204	1128	132	132	0	0	1	127	63	7	6	13	7f3f	
7b3f_1c35	7221	7204	132	195	63	0	317	123	63	6	6	12	7b3f	
ff3b_1c54	7252	1128	132	207	75	0	873	255	59	8	5	13	ff3b	
7f3f_1d9a	7578	1128	136	217	81	0	471	127	63	7	6	13	7f3f	
ff2f_1ddc	7644	1128	137	279	142	0	3657	255	47	8	5	13	ff2f	
ff2e_2747	10055	7644	162	168	6	0	5	255	46	8	4	12	ff2e	
fff_33b7	13239	7644	189	258	69	0	449	255	15	8	4	12	fff	
7f3f_1e67	7783	1128	139	197	58	0	252	127	63	7	6	13	7f3f	
ff1f_1edc	7900	1128	140	182	42	0	112	255	31	8	5	13	ff1f	
ff1f_1f18	7960	1128	141	144	3	0	4	255	31	8	5	13	ff1f	
ff3d_2015	8213	1128	143	192	49	0	267	255	61	8	5	13	ff3d	
ff3d_2110	8464	1128	146	186	40	0	175	255	61	8	5	13	ff3d	
ff1f_2127	8487	1128	146	183	37	0	222	255	31	8	5	13	ff1f	
ff3e_21bd	8637	1128	148	208	60	0	723	255	62	8	5	13	ff3e	
ff37_21f2	8690	1128	149	204	55	0	794	255	55	8	5	13	ff37	
ff3b_2243	8771	1128	149	213	64	0	258	255	59	8	5	13	ff3b	
fd3b_23c5	9157	8771	153	161	8	0	14	253	59	7	5	12	fd3b	
ff3b_258d	9613	9157	157	197	40	0	223	255	59	8	5	13	ff3b	
ff1f_2266	8806	1128	150	212	62	0	383	255	31	8	5	13	ff1f	
ffbf_22da	8922	1128	151	156	5	0	3	255	191	8	7	15	ffbf	
ff37_2470	9328	1128	155	234	79	0	803	255	55	8	5	13	ff37	
ff3b_24a7	9383	1128	155	234	79	0	689	255	59	8	5	13	ff3b	
ff1f_25e4	9700	1128	158	299	141	0	3763	255	31	8	5	13	ff1f	
ff17_2cc0	11456	9700	174	216	42	0	191	255	23	8	4	12	ff17	
fff_4459	17497	9700	224	298	74	0	523	255	15	8	4	12	fff	
ff1b_4ca4	19620	9700	241	269	28	0	100	255	27	8	4	12	ff1b	
ff2f_289c	10396	1128	165	184	19	0	26	255	47	8	5	13	ff2f	
ff2f_28f0	10480	1128	166	192	26	0	74	255	47	8	5	13	ff2f	
7f3f_28fa	10490	1128	166	301	135	0	1747	127	63	7	6	13	7f3f	
ff3f_3432	13362	10490	190	226	36	0	310	255	63	8	6	14	ff3f	
ff3e_38bb	14523	13362	200	240	40	0	142	255	62	8	5	13	ff3e	
7f3e_3a07	14855	10490	202	241	39	0	299	127	62	7	5	12	7f3e	
7f37_3d2c	15660	10490	208	291	83	0	589	127	55	7	5	12	7f37	
ff3d_295d	10589	1128	167	193	26	0	138	255	61	8	5	13	ff3d	
ff37_2d3b	11579	1128	175	252	77	0	1014	255	55	8	5	13	ff37	
ff3b_2d7f	11647	1128	175	210	35	0	206	255	59	8	5	13	ff3b	
ff1f_2fd0	12240	1128	180	270	90	0	1115	255	31	8	5	13	ff1f	
ff3e_325b	12891	1128	186	216	30	0	157	255	62	8	5	13	ff3e	
ff2f_3325	13093	1128	187	224	37	0	136	255	47	8	5	13	ff2f	
7f3f_355d	13661	1128	192	268	76	0	865	127	63	7	6	13	7f3f	
fb3f_3b5b	15195	1128	205	205	0	0	1	251	63	7	6	13	fb3f	
ff3b_3c4d	15437	1128	207	253	46	0	212	255	59	8	5	13	ff3b	
ff3f_569	1385	63	61	95	34	0	176	255	63	8	6	14	ff3f	
ff77_599	1433	63	62	163	101	0	821	255	119	8	6	14	ff77	
ff6f_5c7	1479	63	62	103	41	0	277	255	111	8	6	14	ff6f	
ff7d_63f	1599	63	65	139	74	0	350	255	125	8	6	14	ff7d	
df7f_6bb	1723	63	66	93	27	0	374	223	127	7	7	14	df7f	
df7e_8ef	2287	1723	73	108	35	0	199	223	126	7	6	13	df7e	
ff7b_6e8	1768	63	67	91	24	0	101	255	123	8	6	14	ff7b	
7f7f_731	1841	63	68	133	65	0	316	127	127	7	7	14	7f7f	
7f7f_901	2305	63	74	112	38	0	117	127	127	7	7	14	7f7f	
ff3f_92e	2350	63	74	84	10	0	32	255	63	8	6	14	ff3f	
ff77_9f5	2549	63	76	183	107	0	6372	255	119	8	6	14	ff77	
ff73_11c0	4544	2549	99	104	5	0	5	255	115	8	5	13	ff73	
ff73_1ca8	7336	2549	133	207	74	0	649	255	115	8	5	13	ff73	
ff75_25a2	9634	2549	158	162	4	0	3	255	117	8	5	13	ff75	
ff67_2ac1	10945	2549	170	202	32	0	82	255	103	8	5	13	ff67	
7f67_30b9	12473	10945	182	229	47	0	308	127	103	7	5	12	7f67	
7b67_4461	17505	12473	224	231	7	0	12	123	103	6	5	11	7b67	
5b67_45c1	17857	17505	227	256	29	0	41	91	103	5	5	10	5b67	
5f67_52e6	21222	17857	253	299	46	0	187	95	103	6	5	11	5f67	
ff7e_a19	2585	63	77	99	22	0	77	255	126	8	6	14	ff7e	
ff7a_c97	3223	2585	84	134	50	0	504	255	122	8	5	13	ff7a	
ff3f_ae1	2785	63	79	122	43	0	223	255	63	8	6	14	ff3f	
ff3f_b21	2849	63	80	298	218	0	16145	255	63	8	6	14	ff3f	
